language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,60,60,100.0,2,4510.788984749625,0.20476398865381876,270647.3390849775,2632.430748912902,0.0033307095466202693,1
matlab,60,59,98.33333333333333,2,6167.250749361074,3.596727112592277,363867.79421230336,4585.0643227503615,0.1994057993026503,2
csharp,90,90,100.0,3,8750.755639760016,0.10029890537261962,787568.0075784015,2486.6913146635306,0.007084981315383011,3
python,210,210,100.0,7,10313.311385394694,1.2733763933181763,2165795.390932886,5313.725429083882,0.029424914863527638,4
javascript,120,120,100.0,4,10652.036100119938,1.2084231436252595,1278244.3320143926,3910.151323418359,0.010122223193013672,5
typescript,60,60,100.0,2,10793.560534519416,0.5608568509419759,647613.632071165,2837.5072990882786,0.009113648688377194,6
ruby,270,270,100.0,9,11112.325544645773,1.2310924583011202,3000327.897054359,5503.973420156623,0.12310239266209762,7
go,210,210,100.0,7,11585.08483693279,0.03154612382253011,2432867.815755886,5793.32812034565,0.003849877388396895,8
ocaml,210,210,100.0,7,12065.316327032944,0.019676625160943893,2533716.428676918,3760.8190154842064,0.004134979903326455,9
rust,240,240,100.0,8,12092.14858522849,0.08925342361132303,2902115.6604548376,5963.774300133181,0.009074761472816838,10
php,300,300,100.0,10,12492.126462900236,1.162857758998871,3747637.938870071,5917.360351286013,0.009653373458140664,11
r,300,300,100.0,10,12701.749037030046,1.2936604404449463,3810524.7111090138,5917.201005873231,0.03194079581910636,12
java,180,180,100.0,6,12950.600390864267,2.629018477598826,2331108.070355568,4016.8984235517382,0.0438371420394291,13
c,180,180,100.0,6,13640.229793812818,0.028188753128051757,2455241.3628863073,6733.788802682927,0.004286840113095254,14
julia,150,150,100.0,5,13867.194271236083,1.285050671895345,2080079.1406854126,6507.7032746395325,0.04356831555919025,15
haskell,150,150,100.0,5,13878.100661336028,0.09121137936909994,2081715.0992004042,6812.062380317911,0.008460270601772197,16
