language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
csharp,3,3,100.0,1,62.87813253439962,0.10421593983968098,188.63439760319886,2.4532662893227712,0.0002498946703253334,1
cpp,6,6,100.0,2,145.0844943386602,0.2452856699625651,870.5069660319612,151.38164968967894,0.004216779824972977,2
java,6,6,100.0,2,180.08682907464097,2.7016204595565796,1080.520974447846,151.83339496870263,0.02827963560492126,3
ruby,6,6,100.0,2,246.94150003642662,1.2352235317230225,1481.6490002185596,150.63542077136302,0.01102477926276865,4
javascript,6,6,100.0,2,271.8419972118581,1.231227993965149,1631.0519832711484,150.7218673982346,0.0073194871083776284,5
c,6,6,100.0,2,298.45801429433203,0.026326855023701985,1790.748085765992,150.9657013468794,0.002460992321769723,6
php,6,6,100.0,2,329.5190468459188,1.1894323428471882,1977.1142810755127,151.40100553498078,0.012734136795376147,7
typescript,3,3,100.0,1,427.2355952195764,0.5738991101582845,1281.7067856587291,4.813870784036765,0.009351976275922208,8
go,3,3,100.0,1,442.49865028893964,0.026729504267374676,1327.495950866819,2.1240249971902903,0.00034569348385811666,9
rust,3,3,100.0,1,449.2531342146845,0.07807691891988118,1347.7594026440536,2.247057267781627,0.001730754189191682,10
haskell,3,3,100.0,1,480.3971249575274,0.08523424466451009,1441.1913748725822,2.39223557225712,0.001806381575624501,11
ocaml,3,3,100.0,1,486.66186674023885,0.016711711883544922,1459.9856002207166,1.9441683732067807,0.0008226492372295503,12
r,9,9,100.0,3,650.9191637830244,1.5194081730312772,5858.2724740472195,441.02456748022604,0.320429774041088,13
julia,6,6,100.0,2,889.9335420529202,1.3875125646591187,5339.601252317521,390.8672267593493,0.029654199302147462,14
