language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
haskell,120,120,100.0,4,6417.42128948592,0.10744051933288574,770090.5547383104,6003.858613597873,0.011952564983690319,1
csharp,210,210,100.0,7,7243.259519987831,0.10017870040166946,1521084.4991974444,5831.145882455735,0.008039584772390841,2
c,120,120,100.0,4,7572.723395152706,0.026353369156519573,908726.8074183248,5687.894323942506,0.000982632536769604,3
python,210,210,100.0,7,9315.825258674602,1.403472141992478,1956323.3043216662,6632.8608943861755,0.027672114573650215,4
cpp,90,90,100.0,3,10119.176219930065,0.21065195401509604,910725.8597937059,8516.037156184238,0.00481688132431479,5
java,210,210,100.0,7,10648.092322883846,2.728088775135222,2236099.3878056076,7788.719489998327,0.028851832420228006,6
ruby,300,300,100.0,10,11028.641832404006,1.237650163968404,3308592.549721202,7285.492169899113,0.016109847852136577,7
rust,240,240,100.0,8,11218.028286936964,0.08576811452706655,2692326.7888648715,6575.896705386871,0.0026640529608516245,8
julia,180,180,100.0,6,11523.215433498764,1.3304901825057136,2074178.7780297776,7708.795662769168,0.0324655597181835,9
r,300,300,100.0,10,11775.04518185065,1.336663997968038,3532513.554555195,7283.48659777978,0.014890913957854291,10
javascript,150,150,100.0,5,11792.6440189655,1.2601983944574993,1768896.602844825,8640.778372154593,0.012828581003397186,11
ocaml,240,240,100.0,8,12136.763394194808,0.01917027433713277,2912823.214606754,7327.690558584041,0.0010531246690481744,12
go,240,240,100.0,8,12144.359131258427,0.04988041321436564,2914646.1915020226,7450.0306483307495,0.02057991401930644,13
php,270,270,100.0,9,12310.440892296494,1.2116056963249489,3323819.0409200536,7283.758892691826,0.012166205622065487,14
typescript,150,150,100.0,5,12773.388421600912,0.5919777870178222,1916008.263240137,9017.445721064458,0.012147099278082683,15
matlab,60,60,100.0,2,13031.711622834116,3.261014672120412,781902.697370047,3989.71855618381,0.16098066181479428,16
