language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,460.3872101652315,0.21609716415405272,2301.9360508261575,277.0693374932734,0.019328689452472257,1
python,6,6,100.0,6,486.6123196250367,1.2114386161168416,2919.6739177502204,261.5790983384638,0.03323529730247112,2
typescript,3,3,100.0,3,527.7065292280421,0.5261683464050293,1583.1195876841261,178.38597676916262,0.0070162752652971885,3
java,9,9,100.0,9,534.6210580308788,2.5305119620429144,4811.589522277909,296.63023826025295,0.01972589736164202,4
ruby,10,10,100.0,10,570.1605825696623,1.8460705757141114,5701.6058256966235,286.7431149774257,2.1457360701679447,5
rust,7,7,100.0,7,578.7001519695407,0.079383271081107,4050.901063786785,314.0733213604757,0.0034879907373560645,6
c,6,6,100.0,6,579.3138239481762,0.029108444849650066,3475.882943689057,358.5751739529566,0.013028309282134798,7
csharp,8,8,100.0,8,587.711406794899,0.09205362200737,4701.691254359192,318.11122757275893,0.007825569746225843,8
ocaml,6,6,100.0,6,587.9669916330504,0.019004424413045246,3527.8019497983023,348.9644272450981,0.0006964061270404207,9
php,10,10,100.0,10,614.529074147557,1.118264126777649,6145.29074147557,321.3920613351371,0.015558191103972482,10
julia,9,9,100.0,9,639.0099621979372,2.7581390539805093,5751.089659781434,345.289484577121,2.294268439564236,11
r,9,9,100.0,9,640.2014730569244,1.2281588448418512,5761.81325751232,335.2476038741168,0.021573817870459405,12
javascript,6,6,100.0,6,649.0078309076284,1.1578114827473958,3894.0469854457706,268.21111658779785,0.0036180666965384897,13
haskell,8,8,100.0,8,653.5383466735186,0.09424853324890137,5228.306773388149,350.15236124407056,0.007635024411785452,14
go,7,7,100.0,7,724.0337007444388,0.027801922389439175,5068.235905211071,280.7229554186645,0.0009788914124078574,15
