language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,376.92915937583575,0.23396105766296388,1884.6457968791788,229.0965241417621,0.04493072275523755,1
python,6,6,100.0,6,403.01559278343285,1.2056001424789429,2418.093556700597,216.7730409085188,0.027218509232695476,2
typescript,3,3,100.0,3,435.7691016834248,0.5249998569488525,1307.3073050502744,146.82780425026817,0.006170567678845919,3
java,9,9,100.0,9,442.77447153161177,2.521794213189019,3984.970243784506,246.24056705007303,0.02713710807580616,4
c,6,6,100.0,6,476.9391966977352,0.03568673133850098,2861.635180186411,299.2928464792583,0.01648179299865829,5
rust,7,7,100.0,7,477.17200909959604,0.11038238661629814,3340.2040636971724,262.40414080603085,0.07844126095128952,6
ruby,9,9,100.0,9,483.8725614220709,1.1482007768419054,4354.853052798638,249.4684958974344,0.015597802204534446,7
csharp,8,8,100.0,8,487.28598631147753,0.10062173008918762,3898.2878904918202,263.97637997602163,0.025327272624643914,8
ocaml,6,6,100.0,6,489.55241078999603,0.022678573926289875,2937.3144647399763,288.78291304823955,0.008526553475019277,9
php,10,10,100.0,10,507.242012778515,1.1088459730148315,5072.42012778515,268.15155114649167,0.01008730029962059,10
julia,9,9,100.0,9,528.7871904129879,2.8097475369771323,4759.084713716891,287.60759379772367,2.3198138031187416,11
r,9,9,100.0,9,529.4048289613572,1.203828838136461,4764.643460652215,278.93086250588425,0.011588631394066264,12
javascript,6,6,100.0,6,535.5896853998021,1.159269134203593,3213.5381123988122,224.559494635928,0.00990328215864322,13
haskell,8,8,100.0,8,539.8363808037096,0.1231890320777893,4318.691046429677,292.65247531429065,0.07067018338451281,14
go,7,7,100.0,7,600.6219727092015,0.052058628627232144,4204.353808964411,234.2750640022844,0.05505633396409677,15
