language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,692.4922490798065,0.22311835289001464,3462.461245399032,425.2355876742215,0.019633063673500564,1
python,6,6,100.0,6,732.1437821442981,1.2465633551279705,4392.862692865789,404.99871952790187,0.03751787832528014,2
typescript,3,3,100.0,3,781.959808207754,0.5453818639119467,2345.879424623262,304.8292085496909,0.007637652131758432,3
java,9,9,100.0,9,792.8912377206135,2.6213281419542103,7136.021139485521,448.49693654895776,0.05334893762471172,4
ruby,10,10,100.0,10,852.3795571041625,1.9440912008285522,8523.795571041624,435.2447113701305,2.3839841700638953,5
haskell,4,4,100.0,4,863.6176310150364,0.09861528873443604,3454.4705240601456,657.1852652504949,0.009271990837437157,6
c,6,6,100.0,6,865.9991461770896,0.03118566672007243,5195.994877062538,531.2292219291697,0.013930816208401343,7
rust,7,7,100.0,7,872.3371884192876,0.08512905665806361,6106.360318935013,475.05987724924626,0.004587372396732351,8
csharp,8,8,100.0,8,883.2433001536988,0.0966271460056305,7065.94640122959,481.6340442159207,0.00859182954425711,9
ocaml,6,6,100.0,6,887.7061878456319,0.02023311456044515,5326.237127073791,528.436095656173,0.0010903699390486202,10
php,10,10,100.0,10,917.3064994052125,1.1469034433364869,9173.064994052125,480.9397689682035,0.0177259620388263,11
julia,9,9,100.0,9,953.2343736425945,2.8396460480160184,8579.10936278335,510.8968065946909,2.327803245477723,12
r,9,9,100.0,9,958.6619641586078,1.2402556207444932,8627.95767742747,498.2284486585401,0.0276182766026724,13
javascript,6,6,100.0,6,965.369974088213,1.1967999537785847,5792.219844529278,407.5816934213077,0.01738084327745265,14
go,7,7,100.0,7,1081.9522503273292,0.04816821643284389,7573.665752291305,423.19898184355657,0.03863777285612318,15
