language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,665.9699367405217,0.22301216125488282,3329.8496837026087,410.94904355221854,0.018395029588111414,1
python,6,6,100.0,6,704.3272797600717,1.2328852812449138,4225.963678560431,392.20581334649694,0.0354086736619293,2
typescript,3,3,100.0,3,750.0255702811577,0.5473999182383219,2250.076710843473,300.88898779214253,0.006647502305456482,3
java,9,9,100.0,9,757.2195321836597,2.6030895709991455,6814.975789652937,425.9605912804064,0.03672552797918379,4
ruby,10,10,100.0,10,816.2541340313334,1.912797737121582,8162.541340313333,414.6608612698339,2.2861905340694086,5
c,6,6,100.0,6,827.8717946803955,0.03059212366739909,4967.230768082373,502.23822839325703,0.012840379387786567,6
rust,7,7,100.0,7,834.7378636423293,0.08234221594674247,5843.1650454963055,449.70869210119065,0.003210625801135819,7
csharp,8,8,100.0,8,846.194834905437,0.09647536277770996,6769.558679243496,458.39262070424616,0.009115190255493975,8
ocaml,6,6,100.0,6,849.3800136434978,0.019946773846944172,5096.280081860987,500.87976199714694,0.0009237762883564654,9
php,10,10,100.0,10,875.2329014710997,1.1440597295761108,8752.329014710996,453.4003342419539,0.01487219875240862,10
julia,9,9,100.0,9,909.8103190906021,2.825808975431654,8188.292871815419,481.75519327792045,2.3063431292199303,11
r,9,9,100.0,9,915.408749045447,1.2562150425381131,8238.678741409023,469.29139534708366,0.026869292124734864,12
javascript,6,6,100.0,6,922.266385001229,1.1930214166641235,5533.598310007374,384.8377067515175,0.020802830163773073,13
haskell,8,8,100.0,8,935.2148104687348,0.10378438234329224,7481.718483749878,488.63439721171966,0.009065078220484397,14
go,7,7,100.0,7,1031.026209016875,0.027679647718157088,7217.1834631181255,395.8087820031282,0.0009083229234172165,15
