language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,510.8779936308808,0.21761083602905273,2554.389968154404,309.45200025505494,0.017572023661030025,1
python,6,6,100.0,6,544.1586596667786,1.221121907234192,3264.9519580006718,291.5999220749593,0.03084275451276597,2
typescript,3,3,100.0,3,590.5333191560845,0.5353730519612631,1771.5999574682537,196.65698961491057,0.006565843210232129,3
java,9,9,100.0,9,598.7108322853115,2.532748566733466,5388.397490567804,332.54535848623595,0.03591136403238715,4
rust,7,7,100.0,7,645.1620278903537,0.0791449887411935,4516.134195232476,353.7428411485401,0.002399690051433113,5
c,6,6,100.0,6,646.2551761400623,0.030889471371968586,3877.531056840374,404.5112784953149,0.012979616151757273,6
ruby,9,9,100.0,9,654.499342660184,1.1588733196258545,5890.494083941656,336.99191897898805,0.014695484662333764,7
csharp,8,8,100.0,8,658.347826483608,0.09456759691238403,5266.782611868864,356.96296426675497,0.007996603649927301,8
ocaml,6,6,100.0,6,660.5746152119139,0.020305911699930828,3963.447691271483,390.3873898158742,0.0008041257114324626,9
php,10,10,100.0,10,687.458491078643,1.1203933954238892,6874.58491078643,362.28747764568817,0.010647993084589942,10
julia,9,9,100.0,9,716.2075088379823,2.751236014895969,6445.867579541841,389.0633993586144,2.2844722593987603,11
r,9,9,100.0,9,717.8540783153059,1.2268291579352484,6460.686704837753,377.1646740470298,0.02846866476891089,12
javascript,6,6,100.0,6,726.0182673123545,1.1673116286595662,4356.109603874127,303.2170357724871,0.016022276195191625,13
haskell,8,8,100.0,8,730.6495193586562,0.09465610980987549,5845.19615486925,395.81330260555706,0.007508782956522674,14
go,7,7,100.0,7,811.7640770980444,0.03431841305324009,5682.348539686311,317.10322851634453,0.0011802913739310116,15
